-52,35
-86,-60
-39,92
93,48
36,60
-89,44
92,6
21,41
47,83
73,-83
65,90
-53,87
75,-89
5,-20
-13,89
-69,55
61,-68
-32,62
-85,-64
-46,95
39,-12
-74,59
-88,-72
-77,-5
-16,44
82,53
87,59
49,90
83,-90
-76,-89
-38,-17
28,47
1,-28
6,-94
80,-80
88,-57
-20,-2
-59,33
-31,1
30,53
21,-59
-43,-62
-65,-34
-26,-39
-55,67
13,3
40,34
93,2
37,40
5,85
16,-88
55,-69
-84,94
45,3
-37,57
83,-61
25,-24
-83,56
93,-72
-76,-77
-80,85
36,85
39,-79
94,-61
6,-99
50,-39
-63,-22
84,-96
-72,-81
-8,70
60,-97
76,93
33,-2
-31,10
96,-31
65,18
1,-52
-95,69
43,28
66,-15
-64,55
41,-2
59,66
4,10
-95,-78
-88,-92
-64,22
-53,-10
-40,-3
25,5
-21,64
-5,20
-98,5
45,59
28,-1
-74,79
-100,-17
-4,-99
-89,-98
-71,36
