74,-41
56,-84
95,57
23,65
-61,-94
81,-39
-81,-70
-92,87
53,58
76,69
-69,-22
-16,80
-47,-36
30,91
54,12
-73,-2
-21,54
-84,90
-37,16
-31,-88
70,35
-97,-54
-91,-54
-71,49
42,-27
-10,50
1,-26
-27,-15
7,-36
89,61
-39,96
-74,46
18,-5
-18,31
-38,-36
76,-15
80,-1
-57,-37
-38,-99
-34,-51
60,-82
-3,-76
90,89
55,85
24,-40
-3,14
-40,30
77,76
-61,62
-79,89
26,-34
-86,-88
78,-87
-2,-58
-59,-46
-44,55
10,-50
52,11
-43,-68
-21,42
-77,-41
-94,-70
-6,-52
-15,30
12,-73
-3,-17
26,-41
12,-21
19,-36
-20,-28
-94,17
10,-91
-88,-97
72,-7
-95,-67
30,15
-20,-59
-91,-97
-48,-22
-75,69
-47,-89
-15,4
-91,44
58,71
25,59
-22,97
-91,41
78,-8
-20,-43
57,74
-22,22
-98,61
91,17
-82,49
-36,15
27,-37
36,15
-55,-25
-98,-50
-17,-32
87,-91
22,-99
33,-26
69,88
-84,-84
-3,56
-66,12
28,-63
30,33
-92,50
-45,-41
17,-27
4,33
-87,55
-98,-60
-71,52
89,68
73,96
-50,-91
75,87
-21,65
5,92
56,78
10,17
61,13
-11,-13
68,22
-79,-46
-43,58
-70,23
25,-39
-70,93
57,90
-70,84
57,88
-25,49
-62,98
88,97
-94,12
-8,-68
-92,53
-23,41
-50,-52
-97,-43
-39,-52
-93,-94
-30,25
-49,6
36,-56
21,-9
73,59
-46,-85
-23,-81
41,6
37,46
-86,-95
37,-32
-45,12
97,-17
-69,60
4,-41
-67,-77
-60,82
-95,-52
-74,-93
11,79
76,5
46,-99
82,64
-75,-54
-97,-6
2,96
-54,-78
-33,-8
-46,-82
86,10
33,39
83,62
5,59
-14,-42
-10,-37
18,94
36,-45
-29,65
98,-26
-37,44
76,-97
-8,47
-76,-32
-97,15
32,35
-3,-67
-7,-66
-38,-10
-32,20
-43,17
-67,-42
-58,-86
-72,-85
84,22
-5,49
45,46
-43,79
70,14
8,14
24,21
18,-75
1,-35
8,-95
58,31
12,-34
72,33
-80,43
-59,59
-28,-84
86,-75
32,-67
-64,-76
31,47
-64,-80
-69,-28
8,18
56,-49
29,20
-69,-37
-38,19
-15,-12
-23,10
40,0
75,38
40,-73
82,-95
78,-61
-68,6
39,1
-22,33
59,39
24,-25
93,-6
-91,-23
89,18
69,-88
18,93
1,-94
-48,75
81,63
99,-27
-98,4
46,85
76,-6
68,81
-22,-59
95,8
30,-72
-85,94
21,57
68,-76
91,21
-49,69
16,34
-71,-29
47,80
-31,60
-53,97
-44,-15
-8,-91
95,-1
6,-86
19,-34
-35,-51
-39,-85
35,-38
83,30
83,95
61,-84
-62,85
98,-32
-81,-13
-87,-18
83,-99
-11,78
-48,23
47,-61
24,92
69,17
42,-53
49,-64
-7,-57
84,-5
